행정동,호선+역명,도로명주소,위도,경도,0,1,2,3,4,5,cluster,distance,subway
남가좌1동,경의중앙선_가좌 ,서울특별시 서대문구 수색로 27,37.568611,126.914841,0.0885927070992659,-0.3122893587489479,0.0171615965509161,-0.1671204758868663,0.0473283934867024,0.0410549024470046,0.0,0.15883025170898282,경의중앙선_가좌
하계2동,7호선_하계 ,서울특별시 노원구 동일로 지하1196,37.63645212,127.0679885,0.1645866209104986,-0.3060625253373719,-0.0045962461931105,-0.0993064111959229,-0.0037152501018166,-0.0359863118385224,0.0,0.16316684568682085,7호선_하계
방이1동,5호선_방이 ,서울특별시 송파구 양재대로 지하1127,37.50855645,127.1258547,-0.0569802503999569,-0.2503378630274074,0.1194080778541924,-0.0807205311024249,-0.0873992360919166,0.0550041373291758,0.0,0.1681042341007001,5호선_방이
방배3동,2호선_방배 ,서울특별시 서초구 방배로 지하80,37.48143649,126.9976949,0.1003240016130728,-0.3006553594484318,0.0572663855038454,0.0617696001796928,0.054492421343922,0.0534012303005915,0.0,0.1737303367901278,2호선_방배
면목4동,7호선_용마산 ,서울특별시 중랑구 용마산로 지하227,37.57403021,127.0870381,-0.0758293477232598,-0.0784241059672606,-0.1636496647584753,0.0524716208945744,0.0422590185816586,0.0001712037382614,1.0,0.08965780609290575,7호선_용마산
암사1동,8호선_암사 ,서울특별시 강동구 올림픽로 지하776,37.55014034,127.1275402,-0.06535064820351,-0.0646848846244219,-0.0989955312720188,-0.0187835892929744,0.0668461322471701,0.0513452155361648,1.0,0.09397816327279833,8호선_암사
홍제3동,3호선_홍제 ,서울특별시 서대문구 통일로 지하440-1,37.58871037,126.9442423,-0.044946996309509,-0.102270421893875,-0.0781391927417557,0.1049107494110121,0.0526483242234019,-0.0210087415440957,1.0,0.11002357427860791,3호선_홍제
왕십리2동,2호선_상왕십리 ,서울특별시 성동구 왕십리로 지하374,37.56446871,127.0290312,-0.0951863517358023,-0.0995789249374824,-0.0800630865255138,-0.0306299505150191,-0.0467325327352347,0.044464102061817,1.0,0.11308978124237315,2호선_상왕십리
공항동,5호선_마곡 ,서울특별시 강서구 공항대로 지하163,37.56019845,126.825548,0.2346977815888247,0.1276998552478581,0.0740489716517634,0.0568358161022719,-0.0340857195446017,0.0198917814151016,2.0,0.12338841631632147,"5호선_마곡,5호선_송정"
공항동,5호선_송정 ,서울특별시 강서구 공항대로 지하33,37.56147755,126.8110554,0.2346977815888247,0.1276998552478581,0.0740489716517634,0.0568358161022719,-0.0340857195446017,0.0198917814151016,2.0,0.12338841631632147,"5호선_마곡,5호선_송정"
은천동,2호선_봉천 ,서울특별시 관악구 남부순환로 지하1721,37.48255622,126.9414953,0.2922532559559301,0.1735901555957998,-0.0854769451142281,0.0544547140298277,-0.0643823867231172,-0.0505640881979543,2.0,0.13397094267232748,2호선_봉천
대흥동,2호선_이대 ,서울특별시 마포구 신촌로 지하180,37.55679801,126.9457582,-0.2937140825183316,0.2415501421755134,0.0940229646588223,-0.0453935427187839,-0.137475922684436,-0.0932180364178187,3.0,0.14627900317272274,"2호선_이대,6호선_대흥"
대흥동,6호선_대흥 ,서울특별시 마포구 대흥로 지하85,37.54766835,126.9424653,-0.2937140825183316,0.2415501421755134,0.0940229646588223,-0.0453935427187839,-0.137475922684436,-0.0932180364178187,3.0,0.14627900317272274,"2호선_이대,6호선_대흥"
합정동,6호선_합정 ,서울특별시 마포구 양화로 지하45,37.54925919,126.9131909,-0.2155359458461144,0.204466004438074,0.0446903399624574,-0.1401267028248013,-0.0392139786559188,0.0762685644965648,3.0,0.15735170237128965,6호선_합정
