행정동명,상호명
가락1동,10
가락2동,3
가락본동,9
가리봉동,5
가산동,7
가양1동,2
가회동,2
갈현1동,3
갈현2동,1
강일동,3
개봉1동,4
개봉3동,3
개포1동,4
개포2동,2
개포4동,1
거여1동,4
거여2동,4
고덕1동,2
고덕2동,4
고척2동,3
공덕동,5
공릉1동,7
공릉2동,3
공항동,5
광장동,1
광희동,6
교남동,1
구로1동,1
구로2동,8
구로3동,1
구로4동,20
구로5동,1
구산동,3
구의1동,3
구의2동,2
구의3동,2
군자동,2
금호1가동,1
금호2.3가동,1
금호4가동,3
길동,15
길음1동,2
길음2동,1
난곡동,5
난향동,2
남가좌1동,6
남가좌2동,3
남영동,1
남현동,2
내곡동,2
노량진1동,2
노량진2동,3
녹번동,1
논현1동,4
논현2동,7
능동,1
답십리1동,2
답십리2동,5
당산1동,8
당산2동,2
대림1동,3
대림2동,5
대림3동,3
대조동,9
대치1동,3
대치2동,3
대치4동,2
대흥동,2
도곡1동,2
도곡2동,1
도림동,1
도봉1동,7
도봉2동,8
도화동,4
독산1동,3
독산2동,8
독산3동,10
독산4동,2
돈암2동,1
동선동,2
둔촌2동,1
등촌1동,1
등촌2동,3
등촌3동,2
마장동,4
마천1동,4
마천2동,5
망우3동,2
망우본동,18
망원1동,5
망원2동,2
면목2동,3
면목3.8동,3
면목4동,2
면목5동,2
면목7동,8
면목본동,10
명동,3
명일1동,6
명일2동,2
목1동,2
목2동,1
목3동,5
목4동,3
목5동,2
묵1동,1
묵2동,1
문래동,5
문정1동,1
문정2동,8
미성동,5
미아동,2
반포1동,5
반포2동,1
반포3동,1
반포4동,2
반포본동,1
발산1동,13
방배2동,2
방배3동,1
방배4동,4
방배본동,1
방이2동,12
방학1동,11
방학2동,6
방화1동,8
방화2동,1
번1동,4
번3동,1
보광동,3
보라매동,6
보문동,1
북가좌2동,1
북아현동,2
불광1동,3
불광2동,3
사근동,2
사당1동,5
사당2동,9
사당3동,1
사당4동,5
사직동,2
삼각산동,2
삼선동,6
삼성1동,2
삼성2동,4
삼성동,5
삼양동,1
삼전동,3
상계10동,1
상계1동,3
상계2동,7
상계3.4동,6
상계5동,5
상계6.7동,3
상계8동,1
상계9동,1
상도1동,3
상도2동,1
상도3동,5
상도4동,3
상봉2동,6
상암동,1
상일1동,1
서강동,2
서교동,2
서빙고동,1
서원동,1
서초1동,3
서초2동,3
서초3동,2
서초4동,1
석관동,5
석촌동,6
성내1동,1
성내2동,5
성내3동,10
성북동,4
성산1동,1
성산2동,11
성수1가2동,1
성수2가1동,4
성수2가3동,3
성현동,2
세곡동,1
소공동,2
송정동,1
송중동,3
송천동,7
송파1동,2
송파2동,3
수궁동,1
수색동,3
수서동,1
수유1동,13
수유2동,2
수유3동,10
숭인2동,4
시흥1동,14
시흥2동,1
시흥4동,2
시흥5동,3
신길1동,2
신길3동,3
신길4동,1
신길5동,2
신길6동,2
신길7동,3
신내1동,3
신내2동,3
신대방1동,2
신대방2동,3
신도림동,1
신림동,7
신사1동,2
신사2동,1
신사동(강남구),3
신사동(관악구),5
신수동,1
신원동,7
신월1동,20
신월2동,2
신월3동,5
신월4동,1
신월5동,1
신월6동,4
신월7동,3
신정1동,2
신정2동,3
신정3동,2
신정4동,5
신정6동,1
신정7동,4
신촌동,5
쌍문2동,1
쌍문3동,4
아현동,4
안암동,1
암사1동,9
암사2동,1
암사3동,2
압구정동,1
약수동,1
양재1동,2
양재2동,4
양평1동,1
양평2동,1
여의동,4
역삼1동,7
역삼2동,5
역촌동,5
연남동,2
연희동,2
영등포동,5
영등포본동,1
오금동,3
오류1동,5
오류2동,5
오륜동,2
왕십리2동,2
왕십리도선동,4
용강동,1
용답동,5
용문동,3
용신동,2
우이동,3
우장산동,2
원효로1동,2
월계1동,1
월계2동,1
월계3동,1
월곡1동,3
월곡2동,4
위례동,3
은천동,1
을지로동,5
응암1동,4
응암2동,1
응암3동,11
이문1동,2
이문2동,2
이촌1동,3
이촌2동,1
인수동,11
인헌동,12
일원1동,1
자양1동,9
자양3동,1
자양4동,6
잠실2동,3
잠실3동,2
잠실4동,1
잠실6동,3
잠실본동,10
잠원동,3
장안1동,2
장안2동,5
장위1동,1
장위2동,5
장충동,1
전농1동,3
전농2동,2
정릉1동,2
정릉3동,3
정릉4동,1
제기동,86
조원동,7
종로1.2.3.4가동,8
종암동,6
중계4동,1
중계본동,3
중곡1동,3
중곡2동,4
중곡3동,5
중곡4동,6
중림동,1
중앙동,2
중화1동,2
중화2동,5
증산동,3
진관동,3
창1동,3
창2동,9
창3동,4
창5동,2
창신1동,5
창신2동,4
창신3동,1
천연동,3
천호1동,4
천호2동,3
천호3동,8
청구동,4
청담동,2
청량리동,7
청룡동,5
청림동,1
청운효자동,2
청파동,2
충현동,2
풍납1동,2
필동,1
한강로동,2
한남동,2
항동,3
행당2동,2
행운동,7
혜화동,3
홍은1동,1
홍제1동,1
홍제3동,16
화곡1동,2
화곡2동,2
화곡3동,1
화곡4동,8
화곡6동,4
화곡8동,14
화곡본동,5
화양동,4
황학동,5
회기동,2
회현동,8
효창동,1
휘경2동,1
흑석동,8
