행정동,상호명
가락2동,1
가락본동,5
가산동,9
가양1동,10
가양2동,1
가회동,3
갈현1동,1
갈현2동,1
강일동,1
개봉2동,1
개포2동,1
개포4동,3
거여1동,2
거여2동,1
고덕1동,2
고덕2동,1
고척1동,1
고척2동,1
공덕동,3
공릉1동,3
공릉2동,5
공항동,4
광장동,1
광희동,3
교남동,1
구로1동,1
구로2동,3
구로3동,6
구로4동,1
구로5동,1
구산동,1
구의1동,3
구의2동,1
구의3동,2
군자동,3
금호2.3가동,2
길동,1
길음1동,2
길음2동,2
낙성대동,10
남가좌1동,1
남가좌2동,3
남영동,4
남현동,1
내곡동,1
노량진1동,2
노량진2동,1
녹번동,2
논현1동,7
논현2동,3
다산동,2
답십리1동,1
답십리2동,1
당산1동,4
당산2동,2
대림1동,1
대림2동,1
대방동,3
대조동,4
대치1동,2
대치2동,4
대치4동,7
대학동,5
대흥동,2
도곡1동,2
도곡2동,2
도봉1동,1
도봉2동,1
도화동,1
독산1동,2
독산3동,1
동선동,6
동화동,1
둔촌2동,1
등촌1동,2
등촌3동,1
망우본동,2
망원1동,7
망원2동,1
면목2동,1
면목3.8동,1
면목4동,1
면목본동,1
명동,8
명일1동,3
명일2동,2
목1동,4
목3동,1
목4동,1
목5동,3
무악동,1
묵1동,1
문래동,7
문정1동,1
문정2동,6
미성동,1
미아동,1
반포1동,1
반포2동,1
반포4동,7
발산1동,3
방배1동,3
방배2동,5
방배3동,1
방배4동,2
방배본동,2
방이1동,4
방이2동,3
방학1동,2
방화1동,2
방화2동,1
방화3동,1
번1동,1
번3동,1
보문동,1
부암동,1
북가좌2동,1
북아현동,1
불광1동,3
사근동,4
사당1동,2
사당2동,1
사당3동,2
사직동,6
삼각산동,1
삼선동,2
삼성1동,7
삼성2동,4
삼전동,3
삼청동,3
상계1동,2
상계2동,5
상계5동,2
상계6.7동,5
상계8동,1
상도1동,2
상도2동,1
상도4동,1
상봉2동,4
상암동,8
상일2동,1
서강동,3
서교동,13
서림동,2
서원동,2
서초1동,7
서초2동,3
서초3동,6
서초4동,4
석관동,1
석촌동,4
성내1동,1
성내2동,1
성내3동,3
성북동,2
성산1동,5
성산2동,2
성수1가1동,1
성수1가2동,5
성수2가1동,3
성수2가3동,5
성현동,1
세곡동,2
소공동,7
송중동,1
송파1동,2
송파2동,1
수서동,1
수유1동,1
수유3동,4
숭인1동,1
숭인2동,1
시흥1동,2
시흥2동,1
신길1동,1
신길4동,2
신길7동,1
신내1동,3
신내2동,1
신대방1동,2
신대방2동,2
신도림동,1
신림동,3
신사1동,1
신사동(강남구),10
신사동(관악구),1
신수동,2
신월3동,1
신월4동,1
신정1동,3
신정2동,1
신정3동,1
신정4동,1
신정6동,3
신정7동,1
신촌동,20
쌍문1동,1
쌍문2동,1
쌍문3동,1
아현동,2
안암동,6
암사1동,1
압구정동,2
양재1동,1
양재2동,5
양평1동,1
양평2동,2
여의동,14
역삼1동,22
역삼2동,6
역촌동,1
연남동,2
연희동,3
염리동,1
염창동,3
영등포동,7
영등포본동,2
오류1동,1
오류2동,1
오륜동,1
옥수동,4
왕십리도선동,4
용강동,3
용문동,1
용산2가동,3
용신동,3
우이동,2
월계1동,4
월계2동,1
월계3동,1
월곡1동,2
월곡2동,1
위례동,3
은천동,2
을지로동,3
응암1동,4
응암3동,1
이문1동,4
이촌1동,1
이태원1동,8
이태원2동,1
이화동,8
인수동,3
인헌동,2
일원1동,1
일원본동,1
자양1동,1
자양2동,1
자양3동,1
자양4동,4
잠실2동,3
잠실3동,2
잠실4동,1
잠실6동,7
잠실본동,2
잠원동,2
장안1동,2
장안2동,2
장위2동,1
장위3동,1
장지동,1
장충동,2
전농1동,4
전농2동,1
정릉2동,1
정릉3동,1
조원동,1
종로1.2.3.4가동,22
종로5.6가동,1
종암동,1
중계1동,4
중계2.3동,1
중계4동,1
중계본동,1
중곡1동,1
중곡3동,1
중곡4동,1
중림동,2
중화2동,1
증산동,1
진관동,8
창2동,1
창3동,1
창4동,1
창5동,1
창신1동,1
창신2동,1
천연동,2
천호2동,4
천호3동,3
청담동,4
청량리동,1
청룡동,1
청운효자동,4
청파동,6
충현동,2
평창동,1
풍납1동,1
풍납2동,2
필동,4
하계1동,1
하계2동,1
한강로동,5
한남동,6
합정동,7
항동,1
행당2동,1
행운동,1
혜화동,6
홍은1동,2
홍은2동,1
홍제1동,1
홍제2동,1
화곡1동,1
화곡3동,3
화곡6동,2
화곡8동,1
화양동,3
황학동,1
회기동,5
회현동,6
효창동,1
후암동,2
휘경1동,2
휘경2동,3
흑석동,2
